,type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
1533,0.0,109.0,3,3,3,1.0,1281.0,0,0,1,2.0,1.0,0.58
1534,0.0,96.0,4,5,2,3.0,3017.0,1,0,0,2.0,2.0,2.91
1535,1.0,54.0,7,7,3,0.0,2033.64,1,1,1,1.0,1.0,6.25
1536,0.0,83.0,2,2,1,3.0,1000.0,0,0,1,2.0,1.0,0.54
1537,0.0,13.0,2,2,3,1.0,1120.0,0,0,1,0.0,1.0,0.87
1538,0.0,77.0,3,3,3,3.0,1493.0,1,0,0,0.0,1.0,2.35
1539,0.0,54.0,4,4,2,2.0,2667.0,1,0,0,1.0,1.0,6.0
1540,0.0,109.0,2,2,1,3.0,657.0,0,0,0,1.0,2.0,0.42
1541,0.0,30.0,3,3,3,2.0,1611.0,0,0,2,2.0,2.0,1.4
1542,0.0,115.0,3,3,3,3.0,1281.0,0,0,1,0.0,1.0,0.7
1543,0.0,107.0,4,4,3,3.0,2139.0,1,0,1,2.0,1.0,1.55
1544,0.0,91.0,3,3,3,3.0,1600.0,0,0,1,1.0,2.0,1.05
1545,0.0,114.0,4,3,3,2.0,2007.0,1,0,0,1.0,1.0,1.25
1546,1.0,61.0,4,4,3,2.0,4500.0,1,0,0,2.0,1.0,7.45
1547,0.0,81.0,2,2,2,3.0,1250.0,0,0,0,1.0,0.0,1.02
1548,0.0,43.0,3,2,3,1.0,1409.0,0,0,1,1.0,0.0,1.3
1549,0.0,115.0,2,2,1,3.0,535.0,0,0,1,2.0,2.0,0.26
1550,0.0,115.0,2,2,2,3.0,1016.0,0,0,2,2.0,0.0,0.88
1551,0.0,107.0,4,4,3,3.0,3030.0,1,0,0,2.0,2.0,1.99
1552,0.0,47.0,3,3,3,1.0,1400.0,0,0,1,1.0,2.0,1.26
1553,0.0,65.0,4,6,3,0.0,2715.0,1,1,0,2.0,0.0,7.0
1554,0.0,109.0,3,2,3,3.0,1091.0,0,0,1,1.0,1.0,0.99
1555,0.0,44.0,3,2,3,1.0,1201.0,0,0,1,1.0,1.0,0.82
1556,0.0,43.0,3,3,3,1.0,1444.0,0,0,0,1.0,2.0,1.55
1557,0.0,82.0,3,3,2,3.0,1428.0,0,0,1,2.0,0.0,1.4
1558,0.0,5.0,4,4,3,0.0,2233.0,0,0,1,1.0,2.0,0.9
1559,1.0,54.0,9,9,3,3.0,2700.76,1,0,2,1.0,1.0,7.85
1560,0.0,113.0,3,3,0,1.0,1997.0,0,0,1,1.0,0.0,1.3
1561,1.0,58.0,4,4,3,2.0,3238.76,1,0,0,1.0,1.0,8.4
1562,0.0,87.0,3,3,3,0.0,2986.0,1,0,1,2.0,1.0,3.25
